year,mpg,weight,hp,zero_60
1975,13.1,4060,137,
1976,14.2,4079,135,
1977,15.1,3982,136,
1978,15.8,3715,129,13.6
1979,15.9,3655,124,14.6
1980,19.2,3228,104,15.6
1981,20.5,3202,102,15.6
1982,21.1,3202,103,16.6
1983,21,3257,107,14.9
1984,21,3262,109,14.7
1985,21.3,3271,114,14.1
1986,21.8,3238,114,13.4
1987,22,3221,118,13.4
1988,21.9,3283,123,13.3
1989,21.4,3351,129,12.5
1990,21.2,3426,135,11.5
1991,21.3,3410,138,11.4
1992,20.8,3512,145,11
1993,20.9,3519,147,10.3
1994,20.4,3603,152,10.1
1995,20.5,3613,158,10.1
1996,20.4,3659,164,10.4
1997,20.2,3727,169,10.2
1998,20.1,3744,171,10.4
1999,19.7,3835,179,10.3
2000,19.8,3821,181,9.8
2001,19.6,3879,187,9.5
2002,19.5,3951,195,9.4
2003,19.6,3999,199,9.3
2004,19.3,4111,211,9.1
2005,19.9,4059,209,9
2006,20.1,4067,213,8.9
2007,20.6,4093,217,8.9
2008,21,4085,219,8.9
2009,22.4,3914,208,8.8
2010,22.6,4001,214,8.8
2011,22.3,4126,230,8.5
2012,23.6,3979,222,8.5
2013,24.2,4003,226,8.4
2014,24.1,4060,230,8.3
2015,24.6,4035,229,8.3
2016,24.7,4035,230,8.3
2017,24.9,4093,233,8.2
2018 (prelim),25.4,4094,237,8
